barcode,product_name,brands,nutrition_grade,quantity_grams,sugars_100g,fiber_100g,proteins_100g,sugar_pct_dv,sugar_tier,high_sugar_flag,sugar_pct_dv_scaled,warehouse_status,stock_count
5010477348517,Country Crisp 4 Baies,Jordans,c,550.0,20.0,6.0,9.1,40.0,high,1,0.7692307692307693,not_in_warehouse,
3229820798110,Granola Chocolat,Bjorg,c,350.0,12.0,7.5,10.0,24.0,high,1,0.46153846153846156,not_in_warehouse,
3229820797861,Croustillant 3 noix,Bjorg,b,450.0,14.0,9.9,11.0,28.000000000000004,high,1,0.5384615384615385,not_in_warehouse,
4008713713411,Copos de Avena extra suaves,Brüggen,a,800.0,0.7,10.0,14.0,1.4,low,0,0.02692307692307692,not_in_warehouse,
5059319023762,Miel Pops,KELLOG'S,c,330.0,22.0,4.6,5.2,44.0,high,1,0.8461538461538461,not_in_warehouse,
5010029229110,Crispy Minis Choco,Weetabix,b,500.0,17.0,10.0,10.0,34.0,high,1,0.6538461538461539,not_in_warehouse,
3421557501722,Muesli croustillant tradition,Terres et Céréales,c,1.0,20.0,5.9,9.1,40.0,high,1,0.7692307692307693,not_in_warehouse,
3421557501975,Muesli croustillant duo pépites,Terres et Céréales Bio,c,100.0,25.0,7.6,9.2,50.0,high,1,0.9615384615384616,not_in_warehouse,
3229820786605,Crousti' Avoine Chocolat,Bjorg,c,500.0,14.0,9.5,10.0,28.000000000000004,high,1,0.5384615384615385,not_in_warehouse,
3168930003632,Quaker Oats,Quaker,a,800.0,1.1,9.0,11.0,2.2,low,0,0.04230769230769231,not_in_warehouse,
3229820116716,Muesli aux fruits,Bjorg,a,750.0,10.0,10.0,11.0,20.0,high,1,0.38461538461538464,not_in_warehouse,
3229820796857,Flocons d'avoine,Bjorg,a,900.0,0.0,11.0,10.8333333333333,0.0,low,0,0.0,not_in_warehouse,
7613287514325,Fitness Nature Céréales complètes,"Nestlé, Fitness",a,475.0,8.3,8.5,9.8,16.6,moderate,0,0.31923076923076926,not_in_warehouse,
7613032779566,chocapic,"Nestlé, Chocapic",b,1000.0,19.9,7.7,8.5,39.8,high,1,0.7653846153846153,not_in_warehouse,
3168930010890,Quaker Cruesli Chocolat au lait,Quaker,d,450.0,20.0,8.7,7.7,40.0,high,1,0.7692307692307693,not_in_warehouse,
5010477365316,Oh my crisp ! - Noix,JORDANS,b,400.0,9.5,18.0,9.0,19.0,moderate,0,0.36538461538461536,not_in_warehouse,
3421557502446,T&C Muesli croustillant avoine amandes sans gluten,Terres & céréales bio,c,500.0,18.0,6.9,9.0,36.0,high,1,0.6923076923076923,not_in_warehouse,
3229820794556,"Muesli Proteines Soja, Dattes, Fruits Rouges",Bjorg,a,375.0,10.0,12.0,21.0,20.0,high,1,0.38461538461538464,not_in_warehouse,
3387390326574,Céréales Cookie Crisp,"Nestlé, Cookie crisp",c,375.0,22.4,6.0,6.7,44.8,high,1,0.8615384615384615,not_in_warehouse,
3229820797946,Muesli sans sucres ajoutés raisin figue datte abricot,Bjorg,a,750.0,14.0,10.0,11.0,28.000000000000004,high,1,0.5384615384615385,not_in_warehouse,
8402001010873,Muesli Crunchy,Hacendado,a,500.0,3.2,23.0,8.8,6.4,moderate,0,0.12307692307692308,not_in_warehouse,
5010477356277,Granola Amandes Noisettes & Graines,Jordans,a,400.0,2.5,16.1,12.6,5.0,moderate,0,0.09615384615384616,not_in_warehouse,
5010477354051,Muesli Bio Superfruits,Jordans,a,450.0,10.2,9.4,11.2,20.4,high,1,0.3923076923076923,not_in_warehouse,
3560071407650,Muesli de quinoa y chocolate,"Carrefour BIO, Carrefour",c,375.0,16.0,6.8,9.1,32.0,high,1,0.6153846153846154,not_in_warehouse,
20621469,Special Flakes Original,Crownfield,a,500.0,8.8,8.1,8.9,17.6,moderate,0,0.3384615384615385,not_in_warehouse,
5010477348555,Country Crisp 4 Noix,Jordans,c,850.0,18.0,6.1,11.0,36.0,high,1,0.6923076923076923,not_in_warehouse,
3560070614202,Copos de Avena Integral,Original,a,500.0,0.7,10.0,14.0,1.4,low,0,0.02692307692307692,not_in_warehouse,
3421557910203,Flocons d'avoine complets,"Terres & Céréales, Terres & Céréales BIO",a,500.0,0.9,10.0,12.0,1.8000000000000003,low,0,0.03461538461538462,not_in_warehouse,
5053827199568,Müsli-Tresor-Choco Nut,KELLOGG'S TRÉSOR,e,410.0,26.0,3.6,7.1,52.0,high,1,1.0,not_in_warehouse,
3168930010869,Cruesli Chocolat noir maxi format,QUAKER,c,900.0,16.0,10.0,8.1,32.0,high,1,0.6153846153846154,not_in_warehouse,
3770008009882,Les Fourrées  -  Beurre de Cacahuète & Cacao,Funkie,b,250.0,13.0,6.0,13.0,26.0,high,1,0.5,not_in_warehouse,
3564706604360,Muesli Chocolat-Noisette,Grainea,b,350.0,8.7,11.0,9.9,17.4,moderate,0,0.3346153846153846,not_in_warehouse,
3387390019995,NESTLE LION Céréales 400g,"Nestlé, Lion",c,400.0,24.5,7.0,8.1,49.0,high,1,0.9423076923076923,not_in_warehouse,
8480000095367,"Muesli con quinoa, chía y chocolate negro",Hacendado,c,400.0,18.0,10.0,9.8,36.0,high,1,0.6923076923076923,not_in_warehouse,
20283360,Fiocchi di avena integrali,Crownfield,a,500.0,0.7,10.0,13.5,1.4,low,0,0.02692307692307692,not_in_warehouse,
5050083296079,Cereales special K original,Kellogg's,c,500.0,15.0,6.0,8.0,30.0,high,1,0.5769230769230769,not_in_warehouse,
3159470005071,Céréales Extra Pépites Chocolat Noisettes,Kellogg's,e,500.0,21.0,5.8,8.0,42.0,high,1,0.8076923076923077,not_in_warehouse,
3256228686558,Céréales Muesli croustillant au chocolat noir 500G,"U, U Bio",c,500.0,19.0,8.1,9.0,38.0,high,1,0.7307692307692307,not_in_warehouse,
8480000156112,Avena crunchy,Hacendado,a,400.0,4.6,11.0,13.0,9.2,moderate,0,0.1769230769230769,not_in_warehouse,
40897677,Hafer Flocken Zart,Crownfield,a,500.0,0.8,9.7,13.2,1.6,low,0,0.03076923076923077,not_in_warehouse,
4056489300786,Knusper Müsli Schoko,Crownfield,c,500.0,13.7,9.1,10.9,27.399999999999995,high,1,0.5269230769230768,not_in_warehouse,
5900617002983,Granola chocolate / pieces of chocolate,"Nutrition sante, Sante",d,350.0,22.0,6.7,8.6,44.0,high,1,0.8461538461538461,not_in_warehouse,
5010029000016,Weetabix,Weetabix,a,430.0,4.2,10.0,12.0,8.4,moderate,0,0.16153846153846155,not_in_warehouse,
3421557110313,Krounchy chocolat,Grillon d'Or,c,1.0,18.0,7.2,9.0,36.0,high,1,0.6923076923076923,not_in_warehouse,
3229820800721,muesli superfruits,Bjorg,a,750.0,13.0,10.0,12.0,26.0,high,1,0.5,not_in_warehouse,
3421557501630,Muesli BIO Fruits raisins pommes abricots & noix de coco Sans sucres ajoutés,T&C Terre et Céréales,a,1.0,15.0,11.0,9.7,30.0,high,1,0.5769230769230769,not_in_warehouse,
3229820802138,Croustillant chocolat,Bjorg,c,900.0,14.0,9.8,9.8,28.000000000000004,high,1,0.5384615384615385,not_in_warehouse,
4056489296805,Bio Knusper Müsli Früchte,"Crownfield, Lidl",c,500.0,14.0,8.4,9.9,28.000000000000004,high,1,0.5384615384615385,not_in_warehouse,
7613287366665,Nesquik Cereal,Nesquik,unknown,150.0,22.4,8.5,8.4,44.8,high,1,0.8615384615384615,not_in_warehouse,
5053827110983,Céréales Miel Pops,Kellogg's,c,620.0,22.0,4.6,5.2,44.0,high,1,0.8461538461538461,not_in_warehouse,
3760336830586,Les fourrées cacao noisette,Funkie,c,250.0,21.0,4.2,7.8,42.0,high,1,0.8076923076923077,not_in_warehouse,
3229820794549,"Muesli fibres - Son de blé, Figues, Pruneaux",Bjorg,a,375.0,9.0,15.0,12.0,18.0,moderate,0,0.34615384615384615,not_in_warehouse,
3421557502767,Muesli au chocolat,Terres et Céréales,a,900.0,9.1,9.3,10.0,18.2,moderate,0,0.35,not_in_warehouse,
20159917,CORN FLAKES,Crownfield,a,500.0,3.0,8.0,8.0,6.0,moderate,0,0.11538461538461539,not_in_warehouse,
3421557110221,Muesli avoine amandes chocolat,TERRES ET CÉRÉALES,c,500.0,22.0,6.8,8.7,44.0,high,1,0.8461538461538461,not_in_warehouse,
5010477360755,Granola chocolat noir - faible en sucre,Jordans,a,400.0,3.8,16.9,11.1,7.6,moderate,0,0.14615384615384613,not_in_warehouse,
5059319025711,Special K Chocolat Noir,Special K,d,500.0,17.0,6.0,8.2,34.0,high,1,0.6538461538461539,not_in_warehouse,
3159470001424,Céréales All Bran Kellogg's Fibre Plus,Kellogg's,c,500.0,18.0,27.0,14.0,36.0,high,1,0.6923076923076923,not_in_warehouse,
5053827199667,Trésor Chocolat au Lait,Kellogg's,e,410.0,25.0,3.7,7.5,50.0,high,1,0.9615384615384616,not_in_warehouse,
5059319023533,Rice Krispies,Kellogg's,c,360.0,7.9,2.9,7.0,15.8,moderate,0,0.3038461538461539,not_in_warehouse,
5050083516313,Céréales Extra Kellogg's Pépites Chocolat au lait,Kellogg's,e,500.0,25.0,4.9,7.0,50.0,high,1,0.9615384615384616,not_in_warehouse,
8480000229663,Corn Flakes 0% azúcares añadidos,HACENDADL,c,30.0,0.9,4.4,6.7,1.8000000000000003,low,0,0.03461538461538462,not_in_warehouse,
3111902100037,Muesli Bio Croustillant Amande Vanille,Charles Vignon,c,375.0,16.0,5.7,9.2,32.0,high,1,0.6153846153846154,not_in_warehouse,
5059319030913,Coco Pops,Kellogg's,c,550.0,17.0,3.8,6.3,34.0,high,1,0.6538461538461539,not_in_warehouse,
3560071407773,Croustillant graines de courge et de tournesol,"Carrefour BIO, Carrefour",c,375.0,15.0,6.2,11.0,30.0,high,1,0.5769230769230769,not_in_warehouse,
3564706624467,Flocons d'avoine,Marque Repère,a,500.0,0.7,10.0,14.0,1.4,low,0,0.02692307692307692,not_in_warehouse,
4056489687337,Muesli Crunchy,Crownfield,c,500.0,16.0,9.8,8.9,32.0,high,1,0.6153846153846154,not_in_warehouse,
5053827175654,,Kellogg's,c,330.0,17.0,3.8,6.3,34.0,high,1,0.6538461538461539,not_in_warehouse,
3560071270285,Petits flocons d'avoine complète,Carrefour BIO,a,500.0,1.0,8.7,11.0,2.0,low,0,0.038461538461538464,not_in_warehouse,
8410188012092,Kelloggs corn flakes the original,Kellogg's,d,500.0,8.0,3.0,7.0,16.0,moderate,0,0.3076923076923077,not_in_warehouse,
8480000094742,Granola baja en azúcares,Hacendado,a,400.0,4.7,8.5,13.6,9.4,moderate,0,0.18076923076923077,not_in_warehouse,
3229820786599,Flocons d'avoine 4 graines et raisins,Bjorg,a,375.0,8.6,11.0,15.0,17.2,moderate,0,0.33076923076923076,not_in_warehouse,
3564706612792,Muesli 4 Noix,"Marque Repère, Grainéa",c,500.0,16.0,8.5,11.0,32.0,high,1,0.6153846153846154,not_in_warehouse,
5010477365378,Céréales oh my crips fruit,JORDANS,b,400.0,9.8,18.0,8.5,19.6,moderate,0,0.37692307692307697,not_in_warehouse,
3250391896554,Flocons d'avoine complète 500g,Chabrior,a,500.0,1.1,10.0,12.0,2.2,low,0,0.04230769230769231,not_in_warehouse,
3229820804224,Céréales complètes au chocolat noir intense,Bjorg,c,450.0,17.0,9.1,9.6,34.0,high,1,0.6538461538461539,not_in_warehouse,
3168930158158,Cruesli miel et noisettes,"Cruesli, QUAKER",b,450.0,15.0,9.4,7.5,30.0,high,1,0.5769230769230769,not_in_warehouse,
8445290114594,Crousti fondant choco-noisettes,"Nestlé, Nat",c,340.0,17.5,6.2,7.7,35.0,high,1,0.6730769230769231,not_in_warehouse,
5010029000801,Weetabix,Weetabix,a,860.0,4.2,10.0,11.0,8.4,moderate,0,0.16153846153846155,not_in_warehouse,
3421557501685,Muesli croustillant chocolat 500 g,T&C terres & céréales Bio,c,500.0,9.6,3.9,4.7,19.2,moderate,0,0.3692307692307692,not_in_warehouse,
